ID,NameSubtext_lang,Description_lang,AuraDescription_lang
19499,"Rank 2","Increases the range of your ranged weapons by $s1 yards.",
19500,"Rank 3","Increases the range of your ranged weapons by $s1 yards.",
19503,,"A short-range shot that deals $s1% weapon damage and disorients the target for $d.  Any damage caused will remove the effect.  Turns off your attack when used.",Disoriented.
19505,"Rank 1","Purges $s1 harmful magic $leffect:effects; from a friend or $s1 beneficial magic $leffect:effects; from an enemy.  If an effect is devoured, the Felhunter will be healed for $19658s1.",
19506,"Rank 1","Increases the attack power of party members within $a1 yards by $s1.  Lasts $d.","Increases attack power by $s1."
19507,"Rank 1","Increases the damage you deal with ranged weapons by $s1%.",
19508,"Rank 2","Increases the damage you deal with ranged weapons by $s1%.",
19509,"Rank 3","Increases the damage you deal with ranged weapons by $s1%.",
19510,"Rank 4","Increases the damage you deal with ranged weapons by $s1%.",
19511,"Rank 5","Increases the damage you deal with ranged weapons by $s1%.",
19512,,"Cure a sickly animal afflicted by the taint of poisoning.",
19548,,"Begins taming an Ice Claw Bear to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Ice Claw Bear."
19549,"Rank 1","Increases the Dodge bonus of your Aspect of the Monkey by $s1%.",
19550,"Rank 2","Increases the Dodge bonus of your Aspect of the Monkey by $s1%.",
19551,"Rank 3","Increases the Dodge bonus of your Aspect of the Monkey by $s1%.",
23417,,,"Being smothered by a gigantic pillow!"
7818,,,
19552,"Rank 1","While Aspect of the Hawk is active, all normal ranged attacks have a $s1% chance of increasing ranged attack speed by $s2% for $6150d.",
19553,"Rank 2","While Aspect of the Hawk is active, all normal ranged attacks have a $s1% chance of increasing ranged attack speed by $s2% for $6150d.",
19554,"Rank 3","While Aspect of the Hawk is active, all normal ranged attacks have a $s1% chance of increasing ranged attack speed by $s2% for $6150d.",
19555,"Rank 4","While Aspect of the Hawk is active, all normal ranged attacks have a $s1% chance of increasing ranged attack speed by $s2% for $6150d.",
19556,"Rank 5","While Aspect of the Hawk is active, all normal ranged attacks have a $s1% chance of increasing ranged attack speed by $s2% for $6150d.",
19557,"Rank 1","Increases the duration of your Eyes of the Beast by $/1000;s1 sec.",
19558,"Rank 2","Increases the duration of your Eyes of the Beast by $/1000;s1 sec.",
19559,"Rank 1","Increases the speed bonus of your Aspect of the Cheetah and Aspect of the Pack by $s1%.",
19560,"Rank 2","Increases the speed bonus of your Aspect of the Cheetah and Aspect of the Pack by $s1%.",
19564,,"Draw a sample of water from the waterfall at the mouth of the Cliffspring Falls cave .",
19565,,"Draw a sample of water from the pool of water at the top of Dreadmist Peak.",
19566,,"Allows an experienced leatherworker to turn Deeprock Salt into Refined Deeprock Salt.  Use of the device exposes the user to sub-core micro radiation and should not be used more than once every few days.",
19572,"Rank 1","Reduces the mana cost of your Mend Pet spell by $s2% and gives the Mend Pet spell a $s1% chance of cleansing $24406s1 Curse, Disease, Magic or Poison effect from the pet each tick.",
19573,"Rank 2","Reduces the mana cost of your Mend Pet spell by $s2% and gives the Mend Pet spell a $s1% chance of cleansing $24406s1 Curse, Disease, Magic or Poison effect from the pet each tick.",
19574,,"Send your pet into a rage causing $s2% additional damage for $d.  While enraged, the beast does not feel pity or remorse or fear and it cannot be stopped unless killed.",Enraged.
19575,"Rank 2","Revive Pet's casting time is reduced by $/1000;s1 sec, mana cost is reduced by $s2%, and increases the health your pet returns with by an additional $s3%.",
19577,,"Command your pet to intimidate the target on the next successful melee attack, causing a high amount of threat and stunning the target for $24394d.",Intimidating.
19578,"Rank 1","While your pet is active, you and your pet will regenerate $19579s1% of total health every $19579t1 sec.",
19579,"Rank 1",,"Regenerate $s1% of total health every $t1 sec."
19580,,,"Base armor increased by $s1%."
19581,,,"Max Health increased by $s1%."
19582,,,"Speed increased by $s1%."
19583,"Rank 1","Increases the Health of your pet by $s1% and your total health by $s2%.",
19584,"Rank 2","Increases the Health of your pet by $s1% and your total health by $s2%.",
19585,"Rank 3","Increases the Health of your pet by $s1% and your total health by $s2%.",
19586,"Rank 4","Increases the Health of your pet by $s1% and your total health by $s2%.",
19587,"Rank 5","Increases the Health of your pet by $s1% and your total health by $s2%.",
19588,,"Place between the Dead Goliaths in the Valley of Bones.",
19589,,,"Focus regeneration increased by $s1%."
19590,"Rank 1","Increases the Focus regeneration of your pets by $s1%.",
19591,,,"Critical strike chance increased by $s1%."
19592,"Rank 2","Increases the Focus regeneration of your pets by $s1%.",
19593,,"Explode, hurting all nearby enemies for damage proportional to distance.",
19595,,"Reflect shadow and frost spells back at their caster","Shadow and frost spells are reflected back at the caster"
19596,,"Increases the outdoor movement speed of your pets by $s1%.",
19597,,,Tamed.
19598,"Rank 1","Increases the critical strike chance of your pet by $s1%.",
19599,"Rank 2","Increases the critical strike chance of your pet by $s1%.",
19600,"Rank 3","Increases the critical strike chance of your pet by $s1%.",
19601,"Rank 4","Increases the critical strike chance of your pet by $s1%.",
19602,"Rank 5","Increases the critical strike chance of your pet by $s1%.",
19603,"Rank 1","Gives your pet a $s1% chance to gain $19604s1 Focus after getting a critical strike.",
19605,"Rank 2","Gives your pet a $s1% chance to gain $19604s1 Focus after getting a critical strike.",
19606,"Rank 3","Gives your pet a $s1% chance to gain $19604s1 Focus after getting a critical strike.",
19607,"Rank 4","Gives your pet a $s1% chance to gain $19604s1 Focus after getting a critical strike.",
19608,"Rank 5","Gives your pet a $s1% chance to gain $19604s1 Focus after getting a critical strike.",
19609,"Rank 1","Increases the armor rating of your pets by $s1% and your armor contribution from items by $s2%.",
19610,"Rank 2","Increases the armor rating of your pets by $s1% and your armor contribution from items by $s2%.",
19612,"Rank 3","Increases the armor rating of your pets by $s1% and your armor contribution from items by $s2%.",
19616,"Rank 1","Increases the damage done by your pets by $s1%.",
19617,"Rank 2","Increases the damage done by your pets by $s1%.",
19618,"Rank 3","Increases the damage done by your pets by $s1%.",
19619,"Rank 4","Increases the damage done by your pets by $s1%.",
19620,"Rank 5","Increases the damage done by your pets by $s1%.",
19621,"Rank 1","Gives your pet a $s1% chance to gain a $19615s1% attack speed increase for $19615d after dealing a critical strike.",
19622,"Rank 2","Gives your pet a $s1% chance to gain a $19615s1% attack speed increase for $19615d after dealing a critical strike.",
19623,"Rank 3","Gives your pet a $s1% chance to gain a $19615s1% attack speed increase for $19615d after dealing a critical strike.",
19624,"Rank 4","Gives your pet a $s1% chance to gain a $19615s1% attack speed increase for $19615d after dealing a critical strike.",
19625,"Rank 5","Gives your pet a $s1% chance to gain a $19615s1% attack speed increase for $19615d after dealing a critical strike.",
19634,,"Restores $s1 mana every $t1 sec for $d.","Restores $s1 mana every $t1 seconds."
19636,,"Causes flames to blossom from the caster, immobilizing it and periodically inflicting $19637s1 Fire damage to an enemy for $d.","Immobilized.
Periodically inflicting $19637s1 Fire damage to an enemy."
19638,,"Increases all resistances by $s1 for $d.",
19639,,"Pummels an enemy and interrupts the spell being cast for $d.",
19641,,"Inflicts $o2 Fire damage to enemies in a cone in front of the caster, stunning them for $d.","Stunned.
$o2 Fire damage inflicted over $d."
19643,,"Inflicts $s1% weapon damage to an enemy and leaves it wounded, reducing the effectiveness of any healing by $s2% for $d.","Healing effects reduced by $s2%."
19646,,"Allows opening of simple locks.  The skeleton key is consumed in the process.",
19647,"Rank 2","Silences the enemy for $24259d.  If used on a casting target, it will counter the enemy's spellcast, preventing any spell from that school of magic from being cast for $d.",
19649,,"Allows opening of standard locks.  The skeleton key is consumed in the process.",
19651,,"Allows opening of difficult locks.  The skeleton key is consumed in the process.",
19652,"Rank 2",,"Melee attack power reduced by $s1."
19653,"Rank 3",,"Melee attack power reduced by $s1."
19654,"Rank 4",,"Melee attack power reduced by $s1."
19655,"Rank 2","Taints the Felhunter's blood for $d.  When the Felhunter is hit with a melee attack, the attacker will lose $19652s1 melee attack power for $19652d.  Stacks up to 5 times on a single target.","Drains $19652s1 melee attack power when hit.  Stacks up to 5 times."
19656,"Rank 3","Taints the Felhunter's blood for $d.  When the Felhunter is hit with a melee attack, the attacker will lose $19653s1 melee attack power for $19653d.  Stacks up to 5 times on a single target.","Drains $19653s1 melee attack power when hit.  Stacks up to 5 times."
19659,,"Burns $19665s1 mana from nearby enemies every $t1 sec. for $d. Each point of mana that is destroyed also damages the target from which it is consumed.","$19665s1 mana burned every $t1 sec."
19660,"Rank 4","Taints the Felhunter's blood for $d.  When the Felhunter is hit with a melee attack, the attacker will lose $19654s1 melee attack power for $19654d.  Stacks up to 5 times on a single target.","Drains $19654s1 melee attack power when hit.  Stacks up to 5 times."
19669,,"Allows opening of hard locks.  The skeleton key is consumed in the process.",
19674,,"Begins taming a Large Crag Boar to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Large Crag Boar."
19687,,"Begins taming a Snow Leopard to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Snow Leopard."
19688,,"Begins taming an Adult Plainstrider to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Adult Plainstrider."
19689,,"Begins taming a Prairie Stalker to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Prairie Stalker."
19690,,"Use to disguise yourself as a member of the Scarlet Crusade.","Disguised as a member of the Scarlet Crusade."
19692,,"Begins taming a Swoop to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Swoop."
19693,,"Begins taming a Webwood Lurker to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Webwood Lurker."
19694,,"Begins taming a Dire Mottled Boar to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Dire Mottled Boar."
19695,,"Surrounds the caster with an inferno that periodically inflicts Fire damage to nearby enemies for $d. While the caster is aflame, $ghe:she; cannot move or use $ghis:her; abilities.","Unable to move or use abilities.
Periodically inflicting Fire damage to nearby enemies."
19696,,"Begins taming a Surf Crawler to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Surf Crawler."
19697,,"Begins taming an Armored Scorpid to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Armored Scorpid."
19699,,"Begins taming a Nightsaber Stalker to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Nightsaber Stalker."
19700,,"Begins taming a Strigid Screecher to be your companion for 15 minutes.  If you lose the beast's attention for any reason, the taming process will fail.","Taming Strigid Screecher."
19701,,"Hurls a boulder at an enemy, knocking it back and inflicting Physical damage.",
19703,,"Curses nearby enemies, increasing the costs of their spells and abilities by $s1% for $d. This cost increase applies to all spells and abilities, whether they cost mana, rage, or energy.","Spell and ability costs are increased by $s1%."
19704,,"Summons $s1 $lEarth Elemental:Earth Elementals; to accompany the caster until dismissed.",
19705,,,"Stamina and Spirit increased by $s1."
19712,,"Sends out a blast wave of magic, inflicting $s1 Arcane damage to nearby enemies.",
19713,,"Increases the magical damage taken by nearby enemies by $s1% for $d.","Magical damage taken is increased by $s1%."
19714,,"Reduces the magical damage taken by the caster by $s1% for $d.","Magical damage taken is reduced by $s1%."
19715,,"Counters the spellcasting of nearby enemies, preventing any spell from that school of magic from being cast for $d. Generates a high amount of threat.",
19719,,"Complete the aquatic time trial at the Shrine of Remulos.",
19720,,"Combine with the Half Pendant of Aquatic Endurance to form the Pendant of the Sea Lion.",
19725,,"Compels an undead enemy to flee for up to $d. Only one target can be turned at a time.","Compelled to flee."
19726,,"Increases the resistance of nearby group members to all schools of magic by $s1 for $d.","Magical resistance increased by $s1."
19727,,,"Swim speed is reduced by $s1%."
19728,,"Hurls a bolt of dark magic at an enemy, inflicting $s1 Shadow damage.",
19731,"Rank 2","Purges $s1 harmful magic $leffect:effects; from a friend or $s1 beneficial magic $leffect:effects; from an enemy.  If an effect is devoured, the Felhunter will be healed for $19732s1.",
19734,"Rank 3","Purges $s1 harmful magic $leffect:effects; from a friend or $s1 beneficial magic $leffect:effects; from an enemy.  If an effect is devoured, the Felhunter will be healed for $19733s1.",
19736,"Rank 4","Purges $s1 harmful magic $leffect:effects; from a friend or $s1 beneficial magic $leffect:effects; from an enemy.  If an effect is devoured, the Felhunter will be healed for $19735s1.",
19740,"Rank 1","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
23418,,,"Forced to periodically cast Blessing of Protection on Nefarian."
19742,"Rank 1","Places a Blessing on the friendly target, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.","Restores $s1 mana every 5 seconds."
19746,,"Gives a $s1% chance of ignoring spell interruption when damaged to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Gives a $s1% chance of ignoring spell interruption when damaged."
19748,,"Decreases range at which monsters will attack party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Decreases range at which monsters will attack."
19752,,"The paladin sacrifices $ghimself:herself; to remove the targeted party member from harms way.  Enemies will stop attacking the protected party member, who will be immune to all harmful attacks but cannot take any action for $19753d.","Complete immunity but unable to move."
19753,,,"Complete immunity but unable to move."
19769,,"Inflicts $s1 Fire damage and incapacitates targets for $d in a 3 yard radius.  Any damage will break the effect.  Unreliable against targets higher than level 67.","Incapacitated.  Any damage will break the effect."
19771,,"Inflicts $o1 Physical damage to an enemy over $d.","$o1 damage inflicted over $d."
19772,,"Right Click to summon and dismiss your lifelike mechanical toad.",
19775,,"Uses dark magic to heal an ally for $s1 damage.",
19777,,"Consecrates the caster's weapon, inflicting $s1 additional damage on its next attack. All damage caused is considered Shadow damage.",
19778,,"Reduces the melee and ranged attack power of nearby enemies by $s1 for $d.","Melee and ranged attack power reduced by $s1."
19779,,"Increases the Physical damage dealt by an ally by $s2% and speeds its attacks by $s1% for $d.","Attack speed increased by $s1%.
Physical damage dealt is increased by $s2%."
19780,,"Inflicts $s3 Fire damage to nearby enemies, knocking them back and stunning them for $d.",Stunned.
19781,,"Tosses a spear of flame, inflicting $s1 Fire damage to an enemy, as well as scorching any other enemies in the vicinity of the target.",
19784,,"Inflicts $s1 Fire damage and incapacitates targets in a $a1 yard radius for $d.  Any damage will break the effect.  Unreliable against targets higher than level 73.","Incapacitated.  Any damage will break the effect."
19785,,"Throws a weapon at an enemy, inflicting $s1 damage.",
19786,,"Increases your resistance to silence effects by $s1%.",
19798,,"Inflicts $s2 damage to nearby enemies.",
19801,,"Attempts to remove $s1 Frenzy effect from an enemy creature.",
19802,,"The Arcanite Dragonling comes to life and defends you for $d.",
19804,,"Activates your Arcanite Dragonling to fight for you for $d.",
19820,,"Inflicts $s2 damage to an enemy every $t2 sec. and slows its movement by $s1% for $d.","Movement speed reduced by $s1%.
$s2 Physical damage inflicted every $t2 sec."
19821,,"Drains $s1 mana from those in the blast radius and does 50% of the mana drained in damage to the target.  Also Silences targets in the blast for $d.",Silenced.
19822,,,"Feigning death."
19832,,,Possessed.
19834,"Rank 2","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
19835,"Rank 3","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
19836,"Rank 4","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
19837,"Rank 5","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
19838,"Rank 6","Places a Blessing on the friendly target, increasing attack power by $s1 for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases attack power by $s1."
19850,"Rank 2","Places a Blessing on the friendly target, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.","Restores $s1 mana every 5 seconds."
19852,"Rank 3","Places a Blessing on the friendly target, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.","Restores $s1 mana every 5 seconds."
19853,"Rank 4","Places a Blessing on the friendly target, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.","Restores $s1 mana every 5 seconds."
19854,"Rank 5","Places a Blessing on the friendly target, restoring $s1 mana every 5 seconds for $d.  Players may only have one Blessing on them per Paladin at any one time.","Restores $s1 mana every 5 seconds."
19870,"Rank 1","Increases the duration of your Intimidating Shout by $/1000;s1 sec.",
19871,"Rank 2","Increases the duration of your Intimidating Shout by $/1000;s1 sec.",
19872,,"Lulls a young dragon asleep for $d.",Asleep.
19873,,"Destroys a nearby egg.",
19876,"Rank 1","Gives $s1 additional Shadow resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Shadow resistance by $s1."
19878,,"Shows the location of all nearby demons on the minimap.  Only one form of tracking can be active at a time.","Tracking Demons."
19879,,"Shows the location of all nearby dragonkin on the minimap.  Only one form of tracking can be active at a time.","Tracking Dragonkin."
19880,,"Shows the location of all nearby elementals on the minimap.  Only one form of tracking can be active at a time.","Tracking Elementals."
19882,,"Shows the location of all nearby giants on the minimap.  Only one form of tracking can be active at a time.","Tracking Giants."
19883,,"Shows the location of all nearby humanoids on the minimap.  Only one form of tracking can be active at a time.","Tracking Humanoids."
19884,,"Shows the location of all nearby undead on the minimap.  Only one form of tracking can be active at a time.","Tracking Undead."
19885,,"Greatly increases stealth detection and shows hidden units within detection range on the minimap.  Only one form of tracking can be active at a time.","Greatly increases stealth detection."
19886,,"Teaches you how to be an Expert Cook, allowing a maximum of 225 cooking skill.",
19887,,"Teaches you how to be an Artisan Cook, allowing a maximum of 300 cooking skill.",
20239,"Rank 3","Increases the amount healed by your Holy Light and Flash of Light spells by $s1%.",
7821,,,
19888,"Rank 1","Gives $s1 additional Frost resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Frost resistance by $s1."
19889,,"Teaches you how to be an Expert Fisherman, allowing a maximum of 225 fishing skill.",
19890,,"Teaches you how to be an Artisan Fisherman, allowing a maximum of 300 fishing skill.",
19891,"Rank 1","Gives $s1 additional Fire resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Fire resistance by $s1."
19895,"Rank 2","Gives $s1 additional Shadow resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Shadow resistance by $s1."
19896,"Rank 3","Gives $s1 additional Shadow resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Shadow resistance by $s1."
19897,"Rank 2","Gives $s1 additional Frost resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Frost resistance by $s1."
19898,"Rank 3","Gives $s1 additional Frost resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Frost resistance by $s1."
19899,"Rank 2","Gives $s1 additional Fire resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Fire resistance by $s1."
19900,"Rank 3","Gives $s1 additional Fire resistance to all party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.","Increases Fire resistance by $s1."
19902,,"Teaches you advanced first aid, allowing a maximum of 300 first aid skill.",
19903,,"Teaches you how to be an expert in first aid, allowing a maximum of 225 first aid skill.",
19932,QASpell,"Permanently enchant a cloak to give $13652s1 Fire Resistance.",
19937,,"Use to disguise yourself as a member of the Black Dragonflight.","Disguised as a member of the Black Dragonflight."
19938,,"Wakes up a targeted sleeping peon.",
19952,,,"$o1 damage healed over $d."
19977,"Rank 1","Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to $s1 and the effects of Flash of Light spells used on the target by up to $s2.  Lasts $d.  Players may only have one Blessing on them per Paladin at any one time.","Receives up to $s1 extra healing from Holy Light spells, and up to $s2 extra healing from Flash of Light spells."
19978,"Rank 2","Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to $s1 and the effects of Flash of Light spells used on the target by up to $s2.  Lasts $d.  Players may only have one Blessing on them per Paladin at any one time.","Receives up to $s1 extra healing from Holy Light spells, and up to $s2 extra healing from Flash of Light spells."
19979,"Rank 3","Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to $s1 and the effects of Flash of Light spells used on the target by up to $s2.  Lasts $d.  Players may only have one Blessing on them per Paladin at any one time.","Receives up to $s1 extra healing from Holy Light spells, and up to $s2 extra healing from Flash of Light spells."
20000,,,"Some Description"
20005,,"Target's movement slowed by $s2% and time between attacks increased by $s1% for $d.","Movement slowed by $s2% and time between attacks increased by $s1%."
20007,,"Heal self for $s2 and Increases Strength by $s1 for $d.","Strength Increased by $s1."
20008,,"Permanently enchants bracers to give +7 Intellect.",
20009,,"Permanently enchants bracers to give +9 Spirit.",
20010,,"Permanently enchants bracers to give +9 Strength.",
20011,,"Permanently enchants bracers to give +9 Stamina.",
20012,,"Permanently enchant gloves to grant +7 Agility.",
20013,,"Permanently enchant gloves to grant +7 Strength.",
20014,,"Permanently enchant a cloak to give 5 to all resistances.",
20015,,"Permanently enchant a cloak to give 70 additional armor.",
20016,,"Permanently enchant a shield to give +9 Spirit.",
20017,,"Permanently enchant a shield to give +7 Stamina.",
20018,,"Creates a Major Healthstone that can be used to instantly restore $11732s1 health.

Conjured items disappear if logged out for more than 15 minutes.",
20019,,"Sets an enemy aflame, inflicting $o1 Fire damage over $d. and sending it into a state of panic. While the target is affected, the flames periodically scorch its nearby allies for $20021s1 damage as well.","You're burning!"
20020,,"Permanently enchant boots to give +7 Stamina.",
20022,,"Creates a Soulstone that is automatically used upon death, restoring its owner to life at $3026s1% health and mana.

Conjured items disappear if logged out for more than 15 minutes.",
20023,,"Permanently enchant boots to give +7 Agility.",
20024,,"Permanently enchant boots to give +5 Spirit.",
20025,,"Permanently enchant a piece of chest armor to grant +4 to all stats.",
20026,,"Permanently enchant a piece of chest armor to grant +100 health.",
20028,,"Permanently enchant a piece of chest armor to give +100 mana.",
20029,,"Permanently enchant a melee weapon to often chill the target reducing their movement and attack speed.  Has a reduced effect for players above level 60.",
20030,,"Permanently enchant a two-handed melee weapon to do +9 damage.",
20031,,"Permanently enchant a Melee Weapon to do 5 additional points of damage.",
20032,,"Permanently enchant a melee weapon to often steal life from the enemy and give it to the wielder.  Has a reduced effect for players above level 60.",
20033,,"Permanently enchant a melee weapon to often inflict a curse on the target reducing their melee damage.",
20034,,"Permanently enchant a melee weapon so that often when attacking in melee it heals for $20007s2 and increases Strength by $20007s1 for $20007d.  Has a reduced effect for players above level 60.",
20035,,"Permanently enchant a Two-Handed Melee Weapon to add 9 to Spirit.",
20036,,"Permanently enchant a Two-Handed Melee Weapon to add 9 to intellect.",
20039,,"Turn three lesser eternal essences into a greater one.",
20040,,"Turn a greater eternal essence into three lesser ones.",
20041,,"Tammra Conjure's Gaea Seeds",
20042,"Rank 1","Increases the attack power bonus of your Blessing of Might by $s1%.",
20240,,"Designer note:  This costs 1 rage to prevent its damage from generating rage.",
20043,"Rank 1","The hunter and group members within $a1 yards take on the aspect of the wild, increasing Nature resistance by $s1.  Only one Aspect can be active at a time.","Nature resistance increased by $s1."
20045,"Rank 2","Increases the attack power bonus of your Blessing of Might by $s1%.",
20046,"Rank 3","Increases the attack power bonus of your Blessing of Might by $s1%.",
20047,"Rank 4","Increases the attack power bonus of your Blessing of Might by $s1%.",
20048,"Rank 5","Increases the attack power bonus of your Blessing of Might by $s1%.",
20049,"Rank 1","Gives you a $20050s1% bonus to Physical and Holy damage you deal for $20050d after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to $20050u times.",
20050,,,"Physical and Holy damage increased by $s1%."
20056,"Rank 2","Gives you a $20052s1% bonus to Physical and Holy damage you deal for $20052d after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to $20052u times.",
20057,"Rank 3","Gives you a $20053s1% bonus to Physical and Holy damage you deal for $20053d after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to $20053u times.",
20058,"Rank 4","Gives you a $20054s1% bonus to Physical and Holy damage you deal for $20054d after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to $20054u times.",
20059,"Rank 5","Gives you a $20055s1% bonus to Physical and Holy damage you deal for $20055d after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to $20055u times.",
20066,,"Puts the enemy target in a state of meditation, incapacitating them for up to $d.  Any damage caused will awaken the target.  Only works against Humanoids.",Incapacitated.
20091,"Rank 1","Increases the damage done by your Retribution Aura by $s1%.",
20092,"Rank 2","Increases the damage done by your Retribution Aura by $s1%.",
20101,"Rank 1","Reduces the mana cost of your Judgement and Seal spells by $s1%.",
20102,"Rank 2","Reduces the mana cost of your Judgement and Seal spells by $s1%.",
20103,"Rank 3","Reduces the mana cost of your Judgement and Seal spells by $s1%.",
20104,"Rank 4","Reduces the mana cost of your Judgement and Seal spells by $s1%.",
20105,"Rank 5","Reduces the mana cost of your Judgement and Seal spells by $s1%.",
20116,"Rank 2","Consecrates the land beneath the Paladin, doing $o1 Holy damage over $d to enemies who enter the area.","$s1 damage every $t1 $lsecond:seconds;."
20127,"Rank 1","Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20128s1%.  Lasts $20128d or $20128n blocks.",
20128,,,"Block chance increased by $s1%.  Lasts maximum of $n  blocks."
20130,"Rank 2","Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20131s1%.  Lasts $20131d or $20131n blocks.",
20134,,"Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20134s1%.  Lasts $20134d or $20134n blocks.","Block chance increased by $s1%.  Lasts maximum of $n  blocks."
20135,"Rank 3","Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20132s1%.  Lasts $20132d or $20132n blocks.",
20136,"Rank 4","Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20133s1%.  Lasts $20133d or $20133n blocks.",
20137,"Rank 5","Damaging melee and ranged attacks against you have a $h% chance to increase your chance to block by $20134s1%.  Lasts $20134d or $20134n blocks.",
20138,"Rank 1","Increases the armor bonus of your Devotion Aura by $s1%.",
20139,"Rank 2","Increases the armor bonus of your Devotion Aura by $s1%.",
20140,"Rank 3","Increases the armor bonus of your Devotion Aura by $s1%.",
20141,"Rank 4","Increases the armor bonus of your Devotion Aura by $s1%.",
20142,"Rank 5","Increases the armor bonus of your Devotion Aura by $s1%.",
20148,"Rank 1","Increases the amount of damage absorbed by your shield by $s1%.",
20149,"Rank 2","Increases the amount of damage absorbed by your shield by $s1%.",
20150,"Rank 3","Increases the amount of damage absorbed by your shield by $s1%.",
20154,"Rank 1","Fills the Paladin with holy spirit for $d, granting each melee attack an additional ${$cond($eq($HND,1),0.85*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2-1,1.2*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2+1)} Holy damage.  Only one Seal can be active on the Paladin at any one time.","Melee attacks cause an additional ${$cond($eq($HND,1),0.85*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2-1,1.2*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2+1)} Holy damage."
20162,"Rank 2","Fills the Paladin with the spirit of a crusader for $d, granting $s1 melee attack power.  The Paladin also attacks $s3% faster, but deals less damage with each attack.  Only one Seal can be active on the Paladin at any one time.

Unleashing this Seal's energy will judge an enemy for $20188d, increasing Holy damage taken by up to $20188s1.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.","Melee attack power increased by $s1.  Melee attacks are $s3% faster, but deal less damage."
